,Year,Race,Sex,Average Life Expectancy (Years)
1,2014,All Races,Both Sexes,78.9
2,2013,All Races,Both Sexes,78.8
3,2012,All Races,Both Sexes,78.8
4,2011,All Races,Both Sexes,78.7
5,2010,All Races,Both Sexes,78.7
6,2009,All Races,Both Sexes,78.5
7,2008,All Races,Both Sexes,78.2
8,2007,All Races,Both Sexes,78.1
9,2006,All Races,Both Sexes,77.8
10,2005,All Races,Both Sexes,77.6
11,2004,All Races,Both Sexes,77.5
12,2003,All Races,Both Sexes,77.6
13,2002,All Races,Both Sexes,77.0
14,2001,All Races,Both Sexes,77.0
15,2000,All Races,Both Sexes,76.8
16,1999,All Races,Both Sexes,76.7
17,1998,All Races,Both Sexes,76.7
18,1997,All Races,Both Sexes,76.5
19,1996,All Races,Both Sexes,76.1
20,1995,All Races,Both Sexes,75.8
21,1994,All Races,Both Sexes,75.7
22,1993,All Races,Both Sexes,75.5
23,1992,All Races,Both Sexes,75.8
24,1991,All Races,Both Sexes,75.5
25,1990,All Races,Both Sexes,75.4
26,1989,All Races,Both Sexes,75.1
27,1988,All Races,Both Sexes,74.9
28,1987,All Races,Both Sexes,74.9
29,1986,All Races,Both Sexes,74.7
30,1985,All Races,Both Sexes,74.7
31,1984,All Races,Both Sexes,74.7
32,1983,All Races,Both Sexes,74.6
33,1982,All Races,Both Sexes,74.5
34,1981,All Races,Both Sexes,74.1
35,1980,All Races,Both Sexes,73.7
36,1979,All Races,Both Sexes,73.9
37,1978,All Races,Both Sexes,73.5
38,1977,All Races,Both Sexes,73.3
39,1976,All Races,Both Sexes,72.9
40,1975,All Races,Both Sexes,72.6
41,1974,All Races,Both Sexes,72.0
42,1973,All Races,Both Sexes,71.4
43,1972,All Races,Both Sexes,71.2
44,1971,All Races,Both Sexes,71.1
45,1970,All Races,Both Sexes,70.8
46,1969,All Races,Both Sexes,70.5
47,1968,All Races,Both Sexes,70.2
48,1967,All Races,Both Sexes,70.5
49,1966,All Races,Both Sexes,70.2
50,1965,All Races,Both Sexes,70.2
51,1964,All Races,Both Sexes,70.2
52,1963,All Races,Both Sexes,69.9
53,1962,All Races,Both Sexes,70.1
54,1961,All Races,Both Sexes,70.2
55,1960,All Races,Both Sexes,69.7
56,1959,All Races,Both Sexes,69.9
57,1958,All Races,Both Sexes,69.6
58,1957,All Races,Both Sexes,69.5
59,1956,All Races,Both Sexes,69.7
60,1955,All Races,Both Sexes,69.6
61,1954,All Races,Both Sexes,69.6
62,1953,All Races,Both Sexes,68.8
63,1952,All Races,Both Sexes,68.6
64,1951,All Races,Both Sexes,68.4
65,1950,All Races,Both Sexes,68.2
66,1949,All Races,Both Sexes,68.0
67,1948,All Races,Both Sexes,67.2
68,1947,All Races,Both Sexes,66.8
69,1946,All Races,Both Sexes,66.7
70,1945,All Races,Both Sexes,65.9
71,1944,All Races,Both Sexes,65.2
72,1943,All Races,Both Sexes,63.3
73,1942,All Races,Both Sexes,66.2
74,1941,All Races,Both Sexes,64.8
75,1940,All Races,Both Sexes,62.9
76,1939,All Races,Both Sexes,63.7
77,1938,All Races,Both Sexes,63.5
78,1937,All Races,Both Sexes,60.0
79,1936,All Races,Both Sexes,58.5
80,1935,All Races,Both Sexes,61.7
81,1934,All Races,Both Sexes,61.1
82,1933,All Races,Both Sexes,63.3
83,1932,All Races,Both Sexes,62.1
84,1931,All Races,Both Sexes,61.1
85,1930,All Races,Both Sexes,59.7
86,1929,All Races,Both Sexes,57.1
87,1928,All Races,Both Sexes,56.8
88,1927,All Races,Both Sexes,60.4
89,1926,All Races,Both Sexes,56.7
90,1925,All Races,Both Sexes,59.0
91,1924,All Races,Both Sexes,59.7
92,1923,All Races,Both Sexes,57.2
93,1922,All Races,Both Sexes,59.6
94,1921,All Races,Both Sexes,60.8
95,1920,All Races,Both Sexes,54.1
96,1919,All Races,Both Sexes,54.7
97,1918,All Races,Both Sexes,39.1
98,1917,All Races,Both Sexes,50.9
99,1916,All Races,Both Sexes,51.7
100,1915,All Races,Both Sexes,54.5
101,1914,All Races,Both Sexes,54.2
102,1913,All Races,Both Sexes,52.5
103,1912,All Races,Both Sexes,53.5
104,1911,All Races,Both Sexes,52.6
105,1910,All Races,Both Sexes,50.0
106,1909,All Races,Both Sexes,52.1
107,1908,All Races,Both Sexes,51.1
108,1907,All Races,Both Sexes,47.6
109,1906,All Races,Both Sexes,48.7
110,1905,All Races,Both Sexes,48.7
111,1904,All Races,Both Sexes,47.6
112,1903,All Races,Both Sexes,50.5
113,1902,All Races,Both Sexes,51.5
114,1901,All Races,Both Sexes,49.1
115,1900,All Races,Both Sexes,47.3
